,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
139,202690,2013-14,0.263,0.492,0.116,0.462,0.129,0.483,0.214,0.438
140,200777,2013-14,0.781,0.512,0.138,0.455,0.056,0.333,0.025,0.0
141,101112,2013-14,0.81,0.424,0.087,0.471,0.055,0.442,0.048,0.486
142,101128,2013-14,0.696,0.382,0.068,0.35,0.109,0.438,0.109,0.531
143,708,2013-14,0.602,0.464,0.343,0.387,0.043,0.267,0.012,0.75
144,203197,2013-14,0.37,0.418,0.106,0.429,0.136,0.306,0.177,0.404
145,201188,2013-14,0.718,0.474,0.154,0.468,0.081,0.456,0.048,0.529
146,2200,2013-14,0.59,0.524,0.113,0.42,0.133,0.462,0.149,0.371
147,200752,2013-14,0.328,0.471,0.12,0.507,0.162,0.471,0.261,0.427
148,202087,2013-14,0.458,0.463,0.191,0.511,0.233,0.309,0.11,0.269
149,202331,2013-14,0.423,0.461,0.122,0.421,0.123,0.422,0.194,0.391
150,201959,2013-14,0.667,0.521,0.189,0.361,0.098,0.384,0.045,0.5
151,1938,2013-14,0.486,0.449,0.134,0.548,0.116,0.466,0.187,0.444
152,203497,2013-14,0.838,0.5,0.122,0.556,0.014,0.0,0.027,0.0
153,101155,2013-14,0.625,0.4,0.125,1.0,0.125,0.0,0.125,0.0
154,2400,2013-14,0.733,0.556,0.119,0.563,0.111,0.4,0.037,0.2
155,203462,2013-14,0.422,0.414,0.193,0.5,0.193,0.438,0.145,0.583
156,2732,2013-14,0.38,0.366,0.352,0.289,0.139,0.467,0.13,0.286
157,201569,2013-14,0.345,0.448,0.163,0.466,0.14,0.412,0.271,0.439
158,101162,2013-14,0.73,0.591,0.16,0.427,0.066,0.37,0.044,0.472
159,101122,2013-14,0.62,0.413,0.095,0.31,0.121,0.27,0.148,0.4
160,201189,2013-14,0.729,0.512,0.136,0.125,0.085,0.4,0.051,0.0
161,201980,2013-14,0.664,0.437,0.111,0.482,0.139,0.457,0.072,0.25
162,203110,2013-14,0.689,0.433,0.161,0.315,0.075,0.382,0.053,0.333
163,101123,2013-14,0.507,0.428,0.162,0.531,0.128,0.422,0.156,0.436
