PERSON_ID,SEASON,CT_W_PCT,CT_FG_PCT,CT_FGA,CT_FG3_PCT,CT_FG3A,CT_FT_PCT
210,1997-98,0.613,0.367,1,0.5,0.1,0.923
359,1997-98,0.667,0,0.3,0,0,1
244,1997-98,0.409,0.158,0.9,0.167,0.5,0.714
136,1997-98,0.567,0.308,0.4,0,0,0.667
753,1997-98,0.583,0.5,0.2,0,0,1
1594,1997-98,0.889,0.5,0.2,0,0.1,0.714
977,1997-98,0.519,0.32,0.9,0.1,0.4,0.75
95,1997-98,0.778,0.6,0.6,0,0,1
146,1997-98,0.182,0,0.1,0,0.1,0
672,1997-98,0.364,0,0.2,0,0.1,0
197,1997-98,0.5,0.2,0.4,0,0.1,0
416,1997-98,0,0,0,0,0,0
348,1997-98,1,1,0.5,0,0,0
679,1997-98,0.563,0.333,0.4,0,0,0.8
262,1997-98,0.5,0,0.1,0,0,0.5
948,1997-98,0.481,0.458,0.9,0,0,0.667
922,1997-98,0.647,0.6,0.6,0,0,0.643
156,1997-98,0.733,0.6,0.3,0,0,0.5
713,1997-98,0.308,0,0.2,0,0.2,0.667
208,1997-98,0.41,0.375,1.4,0.111,0.2,0.86
1509,1997-98,0.538,1,0.1,0,0,0
76,1997-98,0.429,1,0.3,1,0.1,1
1472,1997-98,0,0,0,0,0,0
364,1997-98,0.613,0.375,1.5,0.278,0.6,0.75
384,1997-98,0.475,0.545,0.6,1,0,0.857
432,1997-98,0.308,0.375,0.3,0.286,0.3,0.5
164,1997-98,0.391,0.25,0.5,0.143,0.3,0.733
57,1997-98,0.316,0.523,1.2,0.857,0.2,0.952
1569,1997-98,0.143,0,0.3,0,0,1
934,1997-98,0.375,0.207,0.9,0,0.3,0.688
902,1997-98,0.417,0.333,0.8,0,0.2,0
55,1997-98,0.5,0,0,0,0,1
895,1997-98,0.579,0.455,0.6,0,0.1,0.769
1544,1997-98,1,0,0,0,0,0
1506,1997-98,0.5,0,0,0,0,0
180,1997-98,0.5,0,0.7,0,0,1
187,1997-98,0.273,0.4,0.5,0,0,0.5
223,1997-98,1,0,0,0,0,0
209,1997-98,0.75,0.429,0.6,0.667,0.3,1
688,1997-98,0.537,0.545,0.3,0,0,1
956,1997-98,0.321,0.643,0.5,0,0,0.7
1498,1997-98,0.368,0.158,1,0,0.2,0.688
1380,1997-98,1,0,0,0,0,0
213,1997-98,0.705,0.667,0.1,0,0,0.769
989,1997-98,0,0,0,0,0,0
905,1997-98,0.636,1,0,0,0,0.6
1023,1997-98,0.333,0.333,1,0,0.3,1
93,1997-98,0.25,0.31,0.8,0.167,0.3,1
707,1997-98,0.167,0.25,0.3,0,0,1
426,1997-98,0.571,0.5,0.1,0,0,0.571
692,1997-98,0.5,0.6,0.3,0,0,0.75
143,1997-98,0.25,0.273,0.7,0.25,0.3,0.6
219,1997-98,0.647,0.5,0.8,0,0.1,0.714
183,1997-98,0.41,0.667,1,0,0,0.667
960,1997-98,0.318,0.357,0.6,0.333,0.1,0.857
124,1997-98,0.818,0.579,0.9,0,0,0.818
428,1997-98,0.519,0.4,0.2,0,0,0.5
17,1997-98,0.52,0.29,1.2,0.2,0.4,0.632
201,1997-98,0.333,0,0,0,0,1
247,1997-98,0.41,0.175,1,0.15,0.5,0.75
1495,1997-98,0.703,0.5,0.7,0,0.1,0.643
289,1997-98,0,0.5,0.4,0,0,1
721,1997-98,0.625,0,0.3,0,0,0.667
898,1997-98,0.367,0.478,0.8,0.333,0.2,0.833
236,1997-98,0.25,0,0,0,0,0
458,1997-98,0.538,0.4,0.4,0,0.1,0.8
53,1997-98,0.5,0.471,0.8,0.556,0.4,0.667
251,1997-98,0.5,0,0.7,0,0.2,0.25
107,1997-98,0.72,0.2,0.8,0.231,0.5,0.5
1677,1997-98,0,0.5,2,0,1,0
111,1997-98,0.208,0.333,0.9,0,0.2,0.333
442,1997-98,0.8,1,0.2,0,0,0.5
967,1997-98,0.214,0,0.2,0,0.1,1
121,1997-98,0.364,0.25,0.7,0,0,0.75
1108,1997-98,1,0,0,0,0,0
994,1997-98,0,0,0,0,0,0
273,1997-98,0,0,0,0,0,0
198,1997-98,0.333,0.286,0.6,0.2,0.4,0
714,1997-98,0.243,0.377,1.6,0.417,0.3,0.771
965,1997-98,0.667,0.5,0.4,0,0.2,0.8
1504,1997-98,0.5,0.5,0.3,0,0,0.75
323,1997-98,0.5,1,0.3,0,0,0
296,1997-98,0.692,0.4,0.4,0.333,0.2,0.667
1502,1997-98,0.5,0,0,0,0,0
957,1997-98,0.2,0.25,0.8,0,0.2,0.5
1444,1997-98,0.286,0.375,0.6,0,0.1,0
1612,1997-98,0,0,0,0,0,0
708,1997-98,0.548,0.594,0.8,0,0,0.87
1051,1997-98,0.2,0.333,0.4,0,0,0.75
1619,1997-98,0,0,0,0,0,0
423,1997-98,0.294,0.3,0.6,0,0,0.625
1002,1997-98,0.714,0,0,0,0,0
761,1997-98,0.765,0.583,0.7,0,0,0.7
